trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday
5393,2013-06-28 10:04,2013-06-28 11:27,281,4988,279,Halsted St & 35th St,85,Michigan Ave & Oak St,Customer,,
5403,2013-06-28 10:11,2013-06-28 10:33,409,1298,350,Ashland Ave & Chicago Ave,24,Fairbanks Ct & Grand Ave,Customer,,
5406,2013-06-28 10:15,2013-06-28 10:20,526,329,19,Loomis St & Taylor St,22,May St & Taylor St,Customer,,
5408,2013-06-28 10:17,2013-06-28 10:49,222,1912,85,Michigan Ave & Oak St,76,Lake Shore Dr & Monroe St,Customer,,
5409,2013-06-28 10:18,2013-06-28 10:42,57,1409,37,Dearborn St & Adams St,37,Dearborn St & Adams St,Customer,,
5410,2013-06-28 10:19,2013-06-28 10:32,511,780,73,Jefferson St & Monroe St,24,Fairbanks Ct & Grand Ave,Customer,,
5412,2013-06-28 10:21,2013-06-28 10:34,38,747,25,Michigan Ave & Pearson St,52,Michigan Ave & Lake St,Customer,,
5417,2013-06-28 10:25,2013-06-28 11:00,253,2140,72,State St & 16th St,72,State St & 16th St,Customer,,
5419,2013-06-28 10:29,2013-06-28 11:27,909,3472,24,Fairbanks Ct & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,,
5421,2013-06-28 10:31,2013-06-28 10:56,333,1525,21,Aberdeen St & Jackson Blvd,45,Michigan Ave & Congress Pkwy,Customer,,
5423,2013-06-28 10:34,2013-06-28 11:05,44,1852,25,Michigan Ave & Pearson St,26,McClurg Ct & Illinois St,Customer,,
5433,2013-06-28 10:43,2013-06-28 11:03,218,1214,25,Michigan Ave & Pearson St,44,State St & Randolph St,Customer,,
5443,2013-06-28 10:54,2013-06-28 11:20,98,1573,28,Larrabee St & Menomonee St,85,Michigan Ave & Oak St,Customer,,
5455,2013-06-28 11:02,2013-06-28 15:04,471,14517,55,Halsted St & James M Rochford St,14,Morgan St & 18th St,Customer,,
